Date,Fixed,Variable
53,1654151.3099999945,21643508.487499986
54,1654151.3099999945,21102760.269499987
55,1654151.3099999945,50513351.753999956
56,1654151.3099999945,22573691.644499984
57,1654151.3099999945,23543573.574999996
58,1654151.3099999945,23361808.594999988
59,1654151.3099999945,21869314.89999999
60,1654151.3099999945,21232856.28899999
61,1654151.3099999945,30343124.33899998
62,1654151.3099999945,25558803.760499995
63,1654151.3099999945,36107437.45649996
64,1654151.3099999945,25613681.843999993
65,1654151.3099999945,22677517.961999983
66,1654151.3099999945,88409460.60399994
67,1654151.3099999945,165204686.10999987
68,1654151.3099999945,29673843.95199999
69,1654151.3099999945,21834594.65999999
70,1654151.3099999945,21971243.268999986
71,1654151.3099999945,29135294.178000014
72,1654151.3099999945,55152207.58199997
73,1654151.3099999945,72695372.05349997
74,1654151.3099999945,247229145.08499983
75,1654151.3099999945,428126380.2999998
76,1654151.3099999945,22334818.389999986
77,1654151.3099999945,22665816.956499994
78,1654151.3099999945,22917192.817500003
79,1654151.3099999945,23368574.07249999
80,1654151.3099999945,22971590.574499995
81,1654151.3099999945,39277943.698500015
82,1654151.3099999945,25308701.065999992
83,1654151.3099999945,22709833.032999992
84,1654151.3099999945,22949936.378
85,1654151.3099999945,22807596.25949999
86,1654151.3099999945,27407838.843000002
87,1654151.3099999945,23917370.413999993
88,1654151.3099999945,23553383.78949999
89,1654151.3099999945,22414235.179499988
90,1654151.3099999945,21692814.84099999
91,1654151.3099999945,21596427.313499995
92,1654151.3099999945,20953784.846499994
93,1654151.3099999945,22330914.130999982
94,1654151.3099999945,23617016.356999993
95,1654151.3099999945,24260531.61349999
96,1654151.3099999945,22329016.189499993
97,1654151.3099999945,21146518.363499988
98,1654151.3099999945,21502714.561000004
99,1654151.3099999945,23328394.568500005
100,1654151.3099999945,24224959.791999996
101,1654151.3099999945,193080198.91799995
102,1654151.3099999945,46038985.77199995
105,1654151.3099999945,51421859.23799995
106,1654151.3099999945,96515348.92599995
107,1654151.3099999945,96410699.18399994
108,1654151.3099999945,89295599.72599994
109,1654151.3099999945,62409829.125999935
110,1654151.3099999945,33182231.88999994
111,1654151.3099999945,20659524.938499987
112,1654151.3099999945,20672975.174499985
113,1654151.3099999945,22807595.578999966
114,1654151.3099999945,20576998.238499988
115,1654151.3099999945,27452618.949999962
116,1654151.3099999945,39350502.04199993
117,1654151.3099999945,20707813.52649997
118,1654151.3099999945,140191660.8834999
119,1654151.3099999945,226611190.10299984
120,1654151.3099999945,122221674.26099992
121,1654151.3099999945,21466346.818999983
122,1654151.3099999945,20905879.47799997
123,1654151.3099999945,20791847.51099999
124,1654151.3099999945,22338957.97049999
125,1654151.3099999945,33789999.69649993
126,1654151.3099999945,23978316.731
127,1654151.3099999945,23268034.699999988
128,1654151.3099999945,29157538.652499974
129,1654151.3099999945,25274542.030999992
130,1654151.3099999945,26377446.888999987
131,1654151.3099999945,23224465.11499999
132,1654151.3099999945,22827824.014999986
133,1654151.3099999945,24056149.667999994
134,1654151.3099999945,27316560.948499985
135,1654151.3099999945,31600572.096499994
136,1654151.3099999945,125441177.14749986
137,1654151.3099999945,206788275.89799985
138,1654151.3099999945,173961272.85899985
139,1654151.3099999945,24036437.057999995
140,1654151.3099999945,21529085.519499987
141,1654151.3099999945,24808588.989499982
142,1654151.3099999945,42848106.11350001
143,1654151.3099999945,22735049.669499986
144,1654151.3099999945,23850429.11599999
145,1654151.3099999945,24105938.846999995
146,1654151.3099999945,22673479.56549998
147,1654151.3099999945,22189306.371499993
148,1654151.3099999945,23360798.591499995
149,1654151.3099999945,51910124.593999945
150,1654151.3099999945,121033702.98399991
151,1654151.3099999945,27495007.998500008
152,1654151.3099999945,23522502.072499998
153,1654151.3099999945,26491707.920999993
154,1654151.3099999945,67929028.80599998
155,1654151.3099999945,28200232.869999997
156,1654151.3099999945,25551227.57249999
157,1654151.3099999945,24186659.450999994
158,1654151.3099999945,24432273.851999994
159,1654151.3099999945,24254912.21149998
160,1654151.3099999945,25035875.720499996
161,1654151.3099999945,21516731.02949999
162,1654151.3099999945,22195290.314999998
163,1654151.3099999945,22350255.56599999
164,1654151.3099999945,23434383.27449999
165,1654151.3099999945,23586592.71599999
166,1654151.3099999945,23518662.8255
167,1654151.3099999945,25302818.611500002
168,1654151.3099999945,21582620.80099999
169,1654151.3099999945,21362367.673499987
172,1654151.3099999945,22003328.97599999
173,1654151.3099999945,36395580.62099994
174,1654151.3099999945,36259550.07199993
175,1654151.3099999945,41611610.54999996
176,1654151.3099999945,84870580.77199994
177,1654151.3099999945,30827050.207999982
178,1654151.3099999945,26485410.80699994
179,1654151.3099999945,40567696.921999946
180,1654151.3099999945,60825154.38199995
181,1654151.3099999945,85232273.85399996
182,1654151.3099999945,21833523.440499984
183,1654151.3099999945,21363402.08999999
184,1654151.3099999945,20487419.215499986
185,1654151.3099999945,21330407.224499974
186,1654151.3099999945,21389389.163499985
187,1654151.3099999945,120170347.16299991
188,1654151.3099999945,97733137.86549996
189,1654151.3099999945,27261880.501
190,1654151.3099999945,22582066.718999986
191,1654151.3099999945,22696034.75599999
