Date,Type,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
159,FLEX,535.0000000000018,841.8000000000015,1068.0000000000036,1064.0,1060.0,277.00000000000364,196.65000000000418,13.0,3.637978807091713e-12,0.0,0.0,0.0,3.637978807091713e-12,7.275957614183426e-12,3.637978807091713e-12,0.0,0.0,0.0,0.0,3.637978807091713e-12,3.637978807091713e-12,13.0,0.0,0.0
159,LOAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Slack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,Total,14135.000000000002,13650.300000000003,13297.0,13069.300000000001,13151.000000000002,13099.200000000006,14267.5,15329.000000000002,16699.0,17897.0,18972.0,19808.0,20471.0,21110.999999999996,21514.0,21647.0,21646.999999999993,21279.0,20478.999999999996,20009.999999999996,19891.0,18815.0,17213.999999999996,15609.000000000002
160,Nuclear,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4672.9,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0
160,Hydro,386.3,380.8,377.3,371.8,394.29999999999995,390.79999999999995,437.8,483.7,565.7,567.7,569.8,559.9000000000001,570.2,574.8999999999999,643.000000000002,642.7000000000045,659.9000000000028,620.9,606.5999999999999,607.9000000000001,560.5,510.3,497.59999999999997,480.9
160,Steam,7119.100000000002,6980.900000000002,7065.700000000002,7072.500000000001,7122.7000000000035,7074.400000000005,7859.700000000002,8665.400000000001,9577.600000000006,10726.600000000008,11533.500000000004,12109.2,12333.6,12529.499999999993,12688.899999999994,12852.299999999996,12981.299999999994,13060.599999999993,12814.800000000001,12432.9,12437.7,11581.300000000001,10529.4,8951.800000000001
160,CT,1846.1000000000001,1506.1000000000001,1072.5,852.4999999999999,852.5,852.4999999999999,1188.5,1398.5,1774.1999999999957,1821.1999999999957,2087.1999999999957,2351.4000000000005,2761.0000000000045,3149.600000000005,3314.6000000000045,3295.7999999999997,3152.5,2763.8,2243.5,2163.5,2095.5,1928.5,1394.5,1384.8
160,Diesel,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,78.7,118.5,130.0,119.7,118.3,100.7,83.1,76.7,70.3,69.9,69.5,69.5
160,FixedImport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Other,41.0,40.0,39.0,30.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,45.0,54.4999999999975,65.5,64.5,63.5,62.0,60.0,58.0,56.0,54.0,52.0,50.0,49.0
160,INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,DEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,FLEX,535.0000000000018,888.3000000000029,1068.0000000000018,1103.300000000003,1100.0000000000014,416.20000000000846,475.5000000000025,13.0,3.637978807091713e-12,3.637978807091713e-12,0.0,0.0,7.275957614183426e-12,7.275957614183426e-12,0.0,7.275957614183426e-12,0.0,0.0,0.0,0.0,0.0,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12
160,FLEX,535.0000000000018,888.3000000000029,1068.0000000000018,1103.300000000003,1100.0000000000014,416.20000000000846,475.5000000000025,13.0,3.637978807091713e-12,3.637978807091713e-12,0.0,0.0,7.275957614183426e-12,7.275957614183426e-12,0.0,7.275957614183426e-12,0.0,0.0,0.0,0.0,0.0,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12
160,LOAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Slack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,Total,12560.600000000002,12415.400000000001,12158.199999999999,12024.000000000002,12147.8,12141.900000000001,13236.3,14110.0,15227.000000000002,16149.0,16944.0,17495.000000000004,17830.0,18063.0,18121.0,18096.0,18121.0,18058.0,17577.0,17339.0,17483.0,16412.0,14877.000000000002,13413.5
161,Nuclear,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4672.9,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4672.9,4673.0
161,Hydro,384.3,380.8,376.3,371.8,394.29999999999995,390.79999999999995,437.8,483.7,556.7,567.7,570.8,544.9000000000001,538.2,537.5,537.8,556.0,595.8,615.7,604.7,604.3000000000001,560.2,508.1000000000004,490.9000000000004,472.9
161,Steam,5842.3,5830.600000000001,5927.9000000000015,6027.2,6119.500000000001,6117.1,6828.500000000001,7446.4000000000015,8165.300000000001,9089.300000000001,9806.2,10243.6,10402.000000000002,10456.100000000002,10465.900000000003,10442.6,10376.000000000005,10427.0,10302.300000000003,10139.7,10286.499999999998,9435.599999999999,8320.199999999999,6939.299999999999
161,CT,1552.4999999999998,1422.4999999999998,1072.5,852.4999999999999,852.5,852.4999999999999,1188.5,1398.5,1723.4999999999998,1710.5,1785.5,1921.0,2096.1,2276.7,2315.7,2306.7,2358.5000000000005,2233.8,1888.5,1813.5,1852.8000000000015,1685.8000000000015,1284.5,1219.8
161,Diesel,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,78.7,78.7,88.6,78.7,78.7,69.5,69.5,69.5,69.5,69.5,69.5,69.5
161,FixedImport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Other,39.0,39.0,39.0,30.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,42.0,41.0,40.0,39.0,39.0,39.0,39.0,39.0,41.0,40.0,39.0,39.0
161,INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,DEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,FLEX,1011.600000000003,1403.4000000000037,1462.2000000000032,1438.0000000000018,1349.8000000000009,601.9000000000037,511.30000000000314,13.0,13.0,1.8189894035458565e-12,0.0,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,0.0,7.275957614183426e-12,0.0,3.637978807091713e-12,3.637978807091713e-12,0.0,0.0,13.0,22.500000000000682
161,FLEX,1011.600000000003,1403.4000000000037,1462.2000000000032,1438.0000000000018,1349.8000000000009,601.9000000000037,511.30000000000314,13.0,13.0,1.8189894035458565e-12,0.0,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,0.0,7.275957614183426e-12,0.0,3.637978807091713e-12,3.637978807091713e-12,0.0,0.0,13.0,22.500000000000682
161,LOAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Slack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,Total,12938.3,12821.400000000001,12592.5,12486.6,12664.7,12707.2,13876.199999999999,14941.0,15969.000000000002,16870.0,17663.0,18181.0,18538.0,18898.999999999996,19080.0,19154.000000000004,19152.999999999996,18841.999999999996,18207.000000000004,17863.0,17941.0,16842.000000000004,15192.0,13743.8
162,Nuclear,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4672.9,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4673.0,4672.9,4672.9,4673.0
162,Hydro,415.8,415.8,414.79999999999995,413.8,439.79999999999995,439.79999999999995,490.3,537.2,565.7,567.7,570.8,544.9000000000001,538.2,537.5,537.8,557.0,596.8,616.7,604.7,604.3000000000001,564.2,506.8,489.59999999999997,472.9
162,Steam,6188.5,6201.599999999999,6323.7,6447.8,6590.9,6633.4,7415.9,8223.900000000001,8898.300000000003,9810.300000000003,10527.900000000001,10945.500000000002,11111.7,11240.1,11354.2,11427.600000000002,11365.999999999998,11205.099999999995,10897.4,10618.799999999997,10666.499999999998,9794.399999999998,8636.5,7269.6
162,CT,1552.4999999999998,1422.4999999999998,1072.5,852.4999999999999,852.5,852.4999999999999,1188.5,1398.5,1723.4999999999998,1710.5,1782.8000000000006,1905.1000000000006,2093.4000000000005,2326.7,2384.4,2376.7,2398.5000000000005,2238.700000000004,1923.400000000004,1858.400000000004,1925.400000000004,1758.4000000000037,1284.5,1219.8
162,Diesel,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,78.7,78.7,88.6,78.7,78.7,69.5,69.5,69.5,69.9,69.5,69.5,69.5
162,FixedImport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Other,39.0,39.0,39.0,30.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,43.0,43.0,43.0,42.0,41.0,40.0,39.0,39.0,39.0,42.0,40.0,39.0,39.0
162,INC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,DEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,FLEX,614.3000000000011,1123.4000000000028,1264.5000000000027,1308.6000000000022,1267.700000000003,476.2000000000007,325.2000000000014,13.0,3.637978807091713e-12,0.0,0.0,7.275957614183426e-12,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,0.0,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,13.0,13.0,117.79999999999927
162,FLEX,614.3000000000011,1123.4000000000028,1264.5000000000027,1308.6000000000022,1267.700000000003,476.2000000000007,325.2000000000014,13.0,3.637978807091713e-12,0.0,0.0,7.275957614183426e-12,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,0.0,3.637978807091713e-12,3.637978807091713e-12,3.637978807091713e-12,13.0,13.0,117.79999999999927
162,LOAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Slack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
