Date,Fixed,Variable
85,1609580.6999999955,13091025.004999973
86,1609580.6999999955,169340754.12599996
87,1609580.6999999955,37054527.91749998
88,1609580.6999999955,22835021.179499973
89,1609580.6999999955,12098299.445499951
90,1609580.6999999955,11089345.030999979
91,1609580.6999999955,10836449.751499984
92,1609580.6999999955,9707851.559499996
93,1609580.6999999955,12161598.252499998
94,1609580.6999999955,28616836.177000016
95,1609580.6999999955,44604658.1335
96,1609580.6999999955,18043802.600499965
97,1609580.6999999955,9928682.191499993
98,1609580.6999999955,10460131.82449999
99,1609580.6999999955,18945377.456000015
100,1609580.6999999955,49910505.69600002
101,1609580.6999999955,80187367.6135
102,1609580.6999999955,21547238.680499993
105,1609580.6999999955,9059681.357000003
106,1609580.6999999955,21521408.929999996
107,1609580.6999999955,17862174.841999993
108,1609580.6999999955,17626008.2125
109,1609580.6999999955,17435035.683
110,1609580.6999999955,16144151.446499996
111,1609580.6999999955,12573461.37949999
112,1609580.6999999955,10350139.125999995
113,1609580.6999999955,9358807.707999999
114,1609580.6999999955,9758553.194499997
115,1609580.6999999955,12405750.033999996
116,1609580.6999999955,19795367.783999994
117,1609580.6999999955,13271234.697999995
118,1609580.6999999955,264212112.751
119,1609580.6999999955,467965754.12599987
120,1609580.6999999955,336945754.126
121,1609580.6999999955,10207051.844
122,1609580.6999999955,9260264.282499997
123,1609580.6999999955,10246926.633499991
124,1609580.6999999955,17301470.6355
125,1609580.6999999955,111466894.1365
126,1609580.6999999955,35597097.32900001
127,1609580.6999999955,18603555.71499998
128,1609580.6999999955,35488144.63599998
129,1609580.6999999955,109135754.12599996
130,1609580.6999999955,116277476.7245
131,1609580.6999999955,19843540.556999974
132,1609580.6999999955,14960200.892499974
133,1609580.6999999955,47828953.77700002
134,1609580.6999999955,119130547.0185
135,1609580.6999999955,147380964.047
136,1609580.6999999955,339715754.126
137,1609580.6999999955,438000754.12599987
138,1609580.6999999955,415480754.126
139,1609580.6999999955,53037981.80549993
140,1609580.6999999955,10313271.718499996
141,1609580.6999999955,80484867.18400002
142,1609580.6999999955,202125754.12599996
143,1609580.6999999955,16035742.517999984
144,1609580.6999999955,50873129.65400001
145,1609580.6999999955,45861481.49799996
146,1609580.6999999955,15857379.244999986
147,1609580.6999999955,11581410.064499985
148,1609580.6999999955,16119057.618000008
149,1609580.6999999955,185639255.24549997
150,1609580.6999999955,320405754.126
151,1609580.6999999955,175800680.126
152,1609580.6999999955,25069374.672
153,1609580.6999999955,121262782.26050001
154,1609580.6999999955,247600754.12599996
155,1609580.6999999955,161082438.02599996
156,1609580.6999999955,105773896.52950001
157,1609580.6999999955,47870841.173000015
158,1609580.6999999955,68241064.33549997
159,1609580.6999999955,50911520.044999994
160,1609580.6999999955,73066346.56850001
161,1609580.6999999955,10430926.453499991
162,1609580.6999999955,11176831.327499988
163,1609580.6999999955,11368398.678999992
164,1609580.6999999955,23214866.699500017
165,1609580.6999999955,21530641.870999992
166,1609580.6999999955,33463735.339000024
167,1609580.6999999955,103334760.998
168,1609580.6999999955,12637391.693999968
169,1609580.6999999955,10375011.974999994
172,1609580.6999999955,11643754.70649999
173,1609580.6999999955,9322204.040000003
174,1609580.6999999955,14218064.194499996
175,1609580.6999999955,13298713.6635
176,1609580.6999999955,13714809.0775
177,1609580.6999999955,11591421.486999996
178,1609580.6999999955,12520944.486999998
179,1609580.6999999955,11470190.641999999
180,1609580.6999999955,13574890.662499998
181,1609580.6999999955,15439403.216000006
182,1609580.6999999955,12210742.791000005
183,1609580.6999999955,9887229.338499997
184,1609580.6999999955,10869124.698499998
185,1609580.6999999955,14302033.116499992
186,1609580.6999999955,11249710.748499997
187,1609580.6999999955,295360754.12599987
188,1609580.6999999955,281735754.1259999
189,1609580.6999999955,166835754.12599996
190,1609580.6999999955,18991833.452999968
191,1609580.6999999955,12243597.837499999
